artist,song,duration_ms,explicit,year,popularity,valence,tempo,genre,genre_Folk/Acoustic,genre_R&B,genre_World/Traditional,genre_blues,genre_classical,genre_country,genre_easy listening,genre_hip hop,genre_jazz,genre_latin,genre_metal,genre_pop,genre_rock,genre_set(),genre_ordinal
Marc Anthony,You Sang To Me,347106,False,1999,56,0.741,165.98,latin,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7
Matchbox Twenty,Bent,256133,False,2000,54,0.527,95.468,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Matchbox Twenty,Bent,256133,False,2000,54,0.527,95.468,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Gabrielle,Rise,219093,False,2001,60,0.631,144.673,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Gabrielle,Rise,219093,False,2001,60,0.631,144.673,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Backstreet Boys,Shape of My Heart,230093,False,2000,70,0.518,96.102,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Creed,With Arms Wide Open,274800,False,1999,64,0.141,138.852,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Creed,With Arms Wide Open,274800,False,1999,64,0.141,138.852,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Creed,With Arms Wide Open,274800,False,1999,64,0.141,138.852,metal,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14
The Corrs,Breathless,207506,False,2000,68,0.768,126.988,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
The Corrs,Breathless,207506,False,2000,68,0.768,126.988,Folk/Acoustic,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9
Joe,I Wanna Know,296693,False,2000,65,0.599,136.086,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Joe,I Wanna Know,296693,False,2000,65,0.599,136.086,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Wheatus,Teenage Dirtbag,241666,True,1999,71,0.633,94.661,set(),False,False,False,False,False,False,False,False,False,False,False,False,False,True,4
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,False,1999,64,0.779,118.903,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Creed,Higher,316733,False,1999,69,0.431,155.827,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Creed,Higher,316733,False,1999,69,0.431,155.827,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Creed,Higher,316733,False,1999,69,0.431,155.827,metal,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14
Britney Spears,Lucky,206226,False,2000,65,0.966,95.026,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Nelly,Country Grammar (Hot Shit),287000,True,2000,68,0.565,162.831,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Nelly,Country Grammar (Hot Shit),287000,True,2000,68,0.565,162.831,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Nelly,Country Grammar (Hot Shit),287000,True,2000,68,0.565,162.831,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Shaggy,It Wasn't Me,227600,False,2000,76,0.654,94.759,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Shaggy,It Wasn't Me,227600,False,2000,76,0.654,94.759,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Destiny's Child,Survivor,254026,False,2001,70,0.619,161.109,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Destiny's Child,Survivor,254026,False,2001,70,0.619,161.109,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Eminem,Stan,404106,True,2000,83,0.507,80.063,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Kylie Minogue,Can't Get You out of My Head,230640,False,2001,73,0.964,126.007,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Kylie Minogue,Can't Get You out of My Head,230640,False,2001,73,0.964,126.007,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,False,2001,68,0.653,109.919,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Nelly Furtado,I'm Like A Bird,243160,False,2000,1,0.607,89.661,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Nelly Furtado,I'm Like A Bird,243160,False,2000,1,0.607,89.661,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Nelly Furtado,I'm Like A Bird,243160,False,2000,1,0.607,89.661,latin,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7
Shakira,"Whenever, Wherever",196160,False,2001,74,0.871,107.657,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Shakira,"Whenever, Wherever",196160,False,2001,74,0.871,107.657,latin,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7
Jimmy Eat World,The Middle,165853,False,2001,78,0.903,162.152,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Jimmy Eat World,The Middle,165853,False,2001,78,0.903,162.152,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Train,Drops of Jupiter (Tell Me),259933,False,2001,77,0.497,79.064,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Geri Halliwell,It's Raining Men,254640,False,2001,62,0.604,136.482,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
